K,Accuracy_entrenamiento,Accuracy_prueba,Error_entrenamiento,Error_prueba,Gap
1,1.0,0.9440559440559441,0.0,0.05594405594405594,-0.05594405594405594
3,0.9775112443778111,0.9195804195804196,0.022488755622188883,0.08041958041958042,-0.057930824797391534
5,0.9430284857571214,0.9125874125874126,0.05697151424287861,0.0874125874125874,-0.030441073169708788
7,0.9205397301349325,0.8776223776223776,0.07946026986506749,0.1223776223776224,-0.04291735251255491
9,0.8995502248875562,0.8636363636363636,0.1004497751124438,0.13636363636363635,-0.03591386125119256
11,0.904047976011994,0.8776223776223776,0.09595202398800595,0.1223776223776224,-0.026425598389616445
13,0.889055472263868,0.8706293706293706,0.11094452773613195,0.12937062937062938,-0.018426101634497427
15,0.8665667166416792,0.8286713286713286,0.13343328335832083,0.17132867132867136,-0.037895387970350525
25,0.8275862068965517,0.8111888111888111,0.1724137931034483,0.18881118881118886,-0.01639739570774057
35,0.7511244377811095,0.7797202797202797,0.2488755622188905,0.22027972027972031,0.028595841939170197
